               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091382,            0.056886,            0.017228,             0.35945,             0.32614,             0.27421,            0.086701,            0.071027,            0.040408,           0.0070924,            0.070016,           0.0033315,           0.0033315
                   1,            0.066008,            0.051369,           0.0061779,             0.71275,             0.54732,             0.61351,             0.28614,            0.055555,            0.034891,           0.0041522,             0.03995,           0.0065989,           0.0065989
                   2,            0.057493,             0.04828,           0.0045786,              0.7963,              0.6398,             0.72276,             0.38761,             0.04832,            0.032509,           0.0032029,           0.0098183,           0.0098002,           0.0098002
                   3,            0.051638,             0.04606,           0.0037356,             0.82503,             0.68721,             0.77063,              0.4486,            0.044093,            0.030216,           0.0026332,            0.009703,            0.009703,            0.009703
                   4,            0.048392,            0.044121,           0.0033197,             0.82644,             0.71443,             0.79536,             0.47909,            0.041864,             0.02897,            0.002402,            0.009703,            0.009703,            0.009703
                   5,            0.046623,            0.043081,           0.0030564,             0.83839,             0.73275,              0.8127,             0.49945,             0.04037,            0.028139,           0.0022456,            0.009604,            0.009604,            0.009604
                   6,             0.04545,            0.042423,           0.0029436,             0.83698,             0.74182,             0.81937,             0.51336,             0.03947,            0.027606,           0.0021682,            0.009505,            0.009505,            0.009505
                   7,            0.044536,            0.041854,           0.0028443,              0.8503,             0.74907,             0.82776,             0.52269,            0.038689,             0.02718,           0.0021304,            0.009406,            0.009406,            0.009406
                   8,            0.043937,            0.041355,           0.0027743,             0.85343,             0.75314,             0.83425,             0.53236,            0.038018,            0.026739,           0.0020549,            0.009307,            0.009307,            0.009307
                   9,            0.043364,            0.041063,             0.00271,             0.85419,             0.75936,             0.83926,             0.53835,            0.037472,            0.026471,            0.002011,            0.009208,            0.009208,            0.009208
                  10,            0.042883,            0.040917,           0.0026627,             0.85726,             0.76037,              0.8418,             0.54385,            0.037065,            0.026273,           0.0019748,            0.009109,            0.009109,            0.009109
                  11,            0.042368,            0.040328,           0.0025744,             0.86052,             0.76479,             0.84611,              0.5476,            0.036659,            0.026044,           0.0019277,             0.00901,             0.00901,             0.00901
                  12,            0.042082,            0.040156,            0.002576,              0.8665,             0.76724,             0.84986,             0.55318,            0.036344,            0.025853,           0.0019178,            0.008911,            0.008911,            0.008911
                  13,            0.041784,            0.040004,           0.0025406,             0.85886,               0.774,             0.85215,               0.557,            0.036098,             0.02572,           0.0019003,            0.008812,            0.008812,            0.008812
                  14,             0.04152,            0.039802,           0.0025153,             0.86338,             0.77219,             0.85449,             0.55923,             0.03591,            0.025621,           0.0018866,            0.008713,            0.008713,            0.008713
                  15,            0.041252,            0.039479,           0.0025089,             0.86658,             0.77317,             0.85601,              0.5611,             0.03571,            0.025522,           0.0018612,            0.008614,            0.008614,            0.008614
                  16,            0.041078,            0.039413,            0.002498,             0.86686,               0.775,             0.85736,             0.56268,            0.035558,            0.025454,           0.0018445,            0.008515,            0.008515,            0.008515
                  17,            0.040812,            0.039199,           0.0024615,             0.86624,             0.77687,             0.85745,             0.56403,            0.035438,            0.025398,           0.0018348,            0.008416,            0.008416,            0.008416
                  18,            0.040643,            0.038994,           0.0024498,             0.86518,             0.77832,             0.85855,             0.56613,            0.035328,            0.025335,           0.0018276,            0.008317,            0.008317,            0.008317
                  19,             0.04052,            0.039013,           0.0024228,             0.86376,             0.78111,             0.85936,             0.56737,            0.035228,            0.025287,           0.0018199,            0.008218,            0.008218,            0.008218
                  20,            0.040336,            0.039174,           0.0024471,             0.86524,             0.78084,              0.8605,             0.56864,            0.035142,            0.025236,           0.0018151,            0.008119,            0.008119,            0.008119
                  21,            0.040158,            0.038904,           0.0023942,             0.86753,             0.77946,             0.86047,              0.5693,            0.035063,            0.025184,           0.0018084,             0.00802,             0.00802,             0.00802
                  22,            0.040053,            0.038811,           0.0023954,             0.86318,             0.78293,             0.86107,             0.56993,            0.034987,            0.025137,           0.0018009,            0.007921,            0.007921,            0.007921
                  23,            0.039811,            0.038542,           0.0023719,             0.86609,             0.78297,             0.86212,              0.5709,            0.034914,            0.025092,           0.0017943,            0.007822,            0.007822,            0.007822
                  24,            0.039775,            0.038618,           0.0023743,             0.86718,             0.78245,             0.86259,             0.57183,            0.034853,            0.025051,           0.0017883,            0.007723,            0.007723,            0.007723
                  25,             0.03967,            0.038462,           0.0023838,             0.87221,             0.78105,             0.86345,             0.57286,            0.034788,            0.025006,           0.0017839,            0.007624,            0.007624,            0.007624
                  26,            0.039432,             0.03832,           0.0023611,             0.87555,             0.77883,             0.86356,              0.5736,            0.034716,            0.024963,            0.001778,            0.007525,            0.007525,            0.007525
                  27,            0.039349,            0.038163,            0.002316,             0.87945,             0.77631,             0.86361,             0.57429,            0.034643,            0.024922,            0.001771,            0.007426,            0.007426,            0.007426
                  28,            0.039343,            0.038177,           0.0023358,             0.87866,             0.77755,             0.86402,             0.57532,             0.03457,            0.024884,           0.0017652,            0.007327,            0.007327,            0.007327
                  29,            0.039245,            0.038131,           0.0023512,             0.87688,             0.77932,             0.86413,             0.57596,              0.0345,            0.024846,           0.0017613,            0.007228,            0.007228,            0.007228
                  30,            0.039117,            0.038033,           0.0023112,             0.87769,             0.77908,             0.86465,             0.57681,            0.034431,            0.024809,           0.0017576,            0.007129,            0.007129,            0.007129
                  31,            0.038948,            0.038106,           0.0022992,              0.8759,             0.78237,             0.86489,             0.57766,            0.034364,            0.024771,           0.0017519,             0.00703,             0.00703,             0.00703
                  32,            0.038932,            0.037833,           0.0022977,             0.88155,             0.77922,             0.86517,               0.579,              0.0343,            0.024731,           0.0017463,            0.006931,            0.006931,            0.006931
                  33,            0.038834,            0.037942,           0.0022916,             0.87319,              0.7857,             0.86625,             0.57972,            0.034232,            0.024697,            0.001742,            0.006832,            0.006832,            0.006832
                  34,            0.038731,            0.037624,            0.002249,             0.87429,             0.78518,             0.86706,             0.58069,             0.03416,            0.024661,           0.0017352,            0.006733,            0.006733,            0.006733
                  35,            0.038527,            0.037682,           0.0022885,             0.87528,             0.78565,              0.8677,             0.58142,            0.034094,            0.024623,           0.0017306,            0.006634,            0.006634,            0.006634
                  36,            0.038459,            0.037676,           0.0022532,             0.87715,             0.78567,             0.86812,             0.58264,            0.034031,            0.024587,           0.0017268,            0.006535,            0.006535,            0.006535
                  37,            0.038515,            0.037534,           0.0022619,             0.87916,             0.78421,             0.86841,             0.58346,            0.033967,             0.02455,           0.0017233,            0.006436,            0.006436,            0.006436
                  38,            0.038389,            0.037622,           0.0022728,             0.87553,             0.78664,             0.86861,             0.58404,            0.033908,            0.024511,           0.0017189,            0.006337,            0.006337,            0.006337
                  39,            0.038318,            0.037442,           0.0022594,             0.87524,             0.78821,             0.86963,             0.58466,            0.033849,            0.024474,           0.0017146,            0.006238,            0.006238,            0.006238
                  40,            0.038136,            0.037188,           0.0022156,             0.87617,             0.78936,             0.87014,             0.58554,            0.033793,            0.024435,           0.0017093,            0.006139,            0.006139,            0.006139
                  41,            0.038104,            0.037356,           0.0022351,             0.87632,             0.78984,             0.87091,             0.58655,            0.033735,            0.024401,           0.0017067,             0.00604,             0.00604,             0.00604
                  42,            0.038063,            0.037139,           0.0022184,             0.87641,             0.78886,             0.87106,             0.58724,            0.033685,            0.024367,           0.0017038,            0.005941,            0.005941,            0.005941
                  43,            0.037926,            0.037399,           0.0022166,             0.87615,             0.78982,             0.87176,             0.58806,            0.033631,             0.02433,           0.0017002,            0.005842,            0.005842,            0.005842
                  44,            0.037823,            0.037098,           0.0021802,              0.8752,             0.79192,             0.87221,              0.5886,            0.033577,            0.024298,           0.0016952,            0.005743,            0.005743,            0.005743
                  45,            0.037785,            0.037124,           0.0021902,             0.87581,              0.7915,             0.87261,             0.58927,            0.033523,            0.024263,           0.0016912,            0.005644,            0.005644,            0.005644
                  46,            0.037771,            0.037162,           0.0021784,             0.87599,              0.7936,             0.87308,             0.59026,            0.033463,            0.024229,           0.0016865,            0.005545,            0.005545,            0.005545
                  47,            0.037618,            0.037001,           0.0021792,             0.87445,             0.79484,             0.87279,             0.59126,            0.033408,            0.024197,           0.0016827,            0.005446,            0.005446,            0.005446
                  48,            0.037566,            0.036702,           0.0021934,             0.87527,             0.79475,             0.87328,             0.59221,            0.033361,            0.024164,            0.001679,            0.005347,            0.005347,            0.005347
                  49,            0.037493,            0.036804,           0.0021569,             0.87584,              0.7954,             0.87401,             0.59268,            0.033307,            0.024131,           0.0016744,            0.005248,            0.005248,            0.005248
                  50,            0.037406,            0.036732,           0.0021716,             0.87838,             0.79292,             0.87446,             0.59331,            0.033255,            0.024094,           0.0016705,            0.005149,            0.005149,            0.005149
                  51,            0.037422,            0.036769,           0.0021739,              0.8789,             0.79322,             0.87486,             0.59401,            0.033211,            0.024056,           0.0016687,             0.00505,             0.00505,             0.00505
                  52,             0.03735,            0.036666,           0.0021363,             0.88198,             0.79285,             0.87526,             0.59428,            0.033166,            0.024022,           0.0016657,            0.004951,            0.004951,            0.004951
                  53,            0.037146,            0.036651,           0.0021355,             0.88101,             0.79505,              0.8755,             0.59551,             0.03312,            0.023988,           0.0016615,            0.004852,            0.004852,            0.004852
                  54,            0.037168,            0.036667,           0.0021448,             0.88157,             0.79507,             0.87566,             0.59623,            0.033077,            0.023959,           0.0016588,            0.004753,            0.004753,            0.004753
                  55,            0.037069,            0.036526,            0.002141,              0.8839,              0.7942,             0.87624,             0.59714,            0.033033,            0.023924,           0.0016567,            0.004654,            0.004654,            0.004654
                  56,            0.037079,              0.0365,           0.0021293,             0.88608,             0.79414,             0.87676,             0.59765,            0.032985,            0.023891,           0.0016548,            0.004555,            0.004555,            0.004555
                  57,            0.036954,            0.036305,           0.0021138,             0.89012,             0.79263,             0.87685,             0.59815,            0.032941,             0.02386,            0.001655,            0.004456,            0.004456,            0.004456
                  58,            0.036844,            0.036282,           0.0020799,             0.88878,             0.79427,             0.87764,             0.59808,            0.032898,            0.023832,           0.0016557,            0.004357,            0.004357,            0.004357
                  59,            0.036883,            0.036191,           0.0020976,             0.88982,             0.79418,             0.87782,             0.59861,            0.032857,            0.023801,           0.0016562,            0.004258,            0.004258,            0.004258
                  60,            0.036727,            0.036202,           0.0021007,             0.89032,             0.79511,             0.87811,             0.59932,            0.032819,            0.023775,           0.0016563,            0.004159,            0.004159,            0.004159
                  61,            0.036639,            0.036178,           0.0021099,             0.88846,             0.79568,             0.87823,             0.59966,            0.032782,            0.023748,           0.0016556,             0.00406,             0.00406,             0.00406
                  62,             0.03657,             0.03581,            0.002099,             0.88949,             0.79561,             0.87857,             0.60035,            0.032741,            0.023722,           0.0016544,            0.003961,            0.003961,            0.003961
                  63,            0.036581,            0.036117,            0.002058,             0.88948,             0.79542,             0.87867,             0.60123,              0.0327,            0.023695,           0.0016543,            0.003862,            0.003862,            0.003862
                  64,            0.036374,            0.036052,            0.002073,             0.88938,             0.79644,             0.87933,             0.60145,             0.03266,            0.023672,           0.0016526,            0.003763,            0.003763,            0.003763
                  65,            0.036408,            0.035821,           0.0020904,             0.88987,             0.79688,             0.87977,             0.60221,            0.032622,            0.023646,            0.001651,            0.003664,            0.003664,            0.003664
                  66,            0.036253,            0.035865,           0.0020456,             0.88965,             0.79687,             0.88015,             0.60318,            0.032592,            0.023619,           0.0016485,            0.003565,            0.003565,            0.003565
                  67,            0.036226,            0.035736,           0.0020749,             0.89111,             0.79689,             0.88027,             0.60323,            0.032561,            0.023594,            0.001645,            0.003466,            0.003466,            0.003466
                  68,             0.03626,            0.035772,           0.0020674,              0.8878,             0.80067,             0.88116,              0.6037,            0.032525,            0.023567,           0.0016425,            0.003367,            0.003367,            0.003367
                  69,            0.036176,            0.035724,           0.0020383,             0.88572,             0.80151,             0.88135,             0.60407,            0.032493,            0.023548,            0.001641,            0.003268,            0.003268,            0.003268
                  70,            0.036113,            0.035652,           0.0020489,             0.88542,              0.8013,             0.88148,             0.60444,            0.032464,            0.023527,           0.0016384,            0.003169,            0.003169,            0.003169
                  71,            0.036031,            0.035451,           0.0020473,             0.88636,             0.80223,             0.88212,             0.60481,            0.032433,            0.023502,            0.001635,             0.00307,             0.00307,             0.00307
                  72,            0.035871,            0.035518,           0.0020124,             0.88895,             0.80214,             0.88247,             0.60516,            0.032403,            0.023477,           0.0016304,            0.002971,            0.002971,            0.002971
                  73,            0.035851,            0.035489,           0.0020235,              0.8901,             0.80144,             0.88286,             0.60547,            0.032372,            0.023451,           0.0016272,            0.002872,            0.002872,            0.002872
                  74,            0.035772,            0.035401,           0.0020263,             0.88525,             0.80397,             0.88287,             0.60558,            0.032343,            0.023423,           0.0016247,            0.002773,            0.002773,            0.002773
                  75,            0.035722,             0.03536,           0.0020015,              0.8878,             0.80262,             0.88371,             0.60613,            0.032311,            0.023401,           0.0016213,            0.002674,            0.002674,            0.002674
                  76,              0.0355,            0.035147,            0.001977,             0.88815,             0.80075,             0.88365,             0.60625,            0.032282,            0.023382,           0.0016195,            0.002575,            0.002575,            0.002575
                  77,            0.035493,            0.035078,           0.0019921,             0.88915,             0.79971,             0.88421,             0.60706,            0.032253,            0.023365,           0.0016161,            0.002476,            0.002476,            0.002476
                  78,             0.03547,            0.035097,           0.0019743,             0.88884,             0.80187,             0.88431,             0.60721,            0.032229,            0.023346,            0.001615,            0.002377,            0.002377,            0.002377
                  79,              0.0354,            0.035058,           0.0019894,             0.88824,             0.80255,             0.88474,             0.60753,            0.032204,            0.023325,           0.0016144,            0.002278,            0.002278,            0.002278
                  80,            0.035249,            0.034939,           0.0019686,             0.89002,             0.80118,             0.88481,             0.60766,             0.03218,            0.023305,           0.0016131,            0.002179,            0.002179,            0.002179
                  81,            0.035241,            0.034884,           0.0019679,             0.89048,             0.80165,             0.88478,             0.60834,            0.032156,            0.023285,           0.0016115,             0.00208,             0.00208,             0.00208
                  82,            0.035034,            0.034888,           0.0019406,             0.88999,             0.80208,             0.88466,             0.60848,            0.032133,             0.02327,           0.0016117,            0.001981,            0.001981,            0.001981
                  83,            0.034988,            0.034614,           0.0019363,             0.89071,             0.80254,             0.88504,             0.60861,            0.032111,            0.023256,           0.0016109,            0.001882,            0.001882,            0.001882
                  84,            0.034894,            0.034481,           0.0019123,             0.88848,             0.80397,             0.88512,             0.60884,            0.032092,             0.02324,           0.0016088,            0.001783,            0.001783,            0.001783
                  85,            0.034806,            0.034387,           0.0019139,             0.88944,             0.80367,             0.88537,             0.60908,            0.032073,             0.02322,           0.0016047,            0.001684,            0.001684,            0.001684
