               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.040793,            0.042705,           0.0027319,             0.87701,              0.7811,             0.86824,              0.5809,            0.034113,             0.02445,           0.0017561,            0.006535,            0.006535,            0.006535
                  37,            0.040702,            0.042594,            0.002729,             0.87754,             0.78155,             0.86911,              0.5816,             0.03403,            0.024397,           0.0017522,            0.006436,            0.006436,            0.006436
                  38,            0.040634,             0.04287,           0.0027366,             0.87949,             0.78097,             0.86966,             0.58287,            0.033957,            0.024343,           0.0017476,            0.006337,            0.006337,            0.006337
                  39,            0.040575,            0.042488,           0.0027059,             0.88035,             0.78208,             0.87039,             0.58403,             0.03388,            0.024291,           0.0017422,            0.006238,            0.006238,            0.006238
                  40,            0.040505,            0.042769,           0.0027189,             0.88141,             0.78311,               0.871,             0.58538,            0.033803,            0.024239,           0.0017369,            0.006139,            0.006139,            0.006139
                  41,            0.040333,            0.042488,           0.0026897,             0.87893,             0.78485,             0.87119,             0.58629,            0.033735,            0.024198,           0.0017307,             0.00604,             0.00604,             0.00604
                  42,            0.040274,            0.042253,           0.0026654,              0.8784,             0.78667,             0.87185,             0.58738,            0.033674,            0.024155,           0.0017238,            0.005941,            0.005941,            0.005941
                  43,            0.040238,            0.042613,           0.0026922,             0.87742,              0.7879,             0.87217,             0.58852,            0.033613,            0.024108,           0.0017211,            0.005842,            0.005842,            0.005842
                  44,            0.040212,            0.042342,           0.0026847,             0.87711,             0.78853,             0.87212,             0.58925,            0.033547,            0.024069,           0.0017174,            0.005743,            0.005743,            0.005743
                  45,            0.040172,            0.042218,           0.0026688,             0.87951,             0.78821,             0.87256,             0.58981,            0.033486,            0.024034,           0.0017132,            0.005644,            0.005644,            0.005644
                  46,            0.040143,            0.042479,           0.0026715,             0.87807,             0.79006,             0.87324,             0.59021,             0.03344,            0.024002,           0.0017103,            0.005545,            0.005545,            0.005545
                  47,            0.040068,            0.042046,            0.002655,             0.88046,             0.79019,             0.87329,             0.59073,            0.033394,            0.023966,           0.0017076,            0.005446,            0.005446,            0.005446
                  48,            0.039897,            0.042058,           0.0026362,             0.87884,             0.79175,             0.87374,             0.59111,             0.03335,            0.023926,           0.0017038,            0.005347,            0.005347,            0.005347
                  49,             0.03984,             0.04194,           0.0026366,              0.8802,             0.79155,             0.87481,             0.59212,            0.033307,            0.023888,           0.0016986,            0.005248,            0.005248,            0.005248
                  50,            0.039793,            0.042128,           0.0026454,             0.88162,             0.79121,              0.8754,             0.59281,            0.033259,            0.023849,           0.0016947,            0.005149,            0.005149,            0.005149
                  51,            0.039618,             0.04203,           0.0026087,             0.88279,             0.79008,             0.87589,             0.59344,            0.033204,            0.023819,           0.0016907,             0.00505,             0.00505,             0.00505
                  52,            0.039699,            0.042055,           0.0026293,              0.8821,              0.7913,             0.87675,             0.59408,            0.033151,            0.023784,            0.001686,            0.004951,            0.004951,            0.004951
                  53,            0.039504,            0.041846,             0.00261,              0.8819,             0.79215,             0.87719,             0.59453,            0.033117,            0.023759,           0.0016823,            0.004852,            0.004852,            0.004852
                  54,            0.039465,            0.041727,           0.0025977,             0.88252,             0.79131,             0.87752,             0.59518,            0.033081,            0.023732,           0.0016778,            0.004753,            0.004753,            0.004753
                  55,            0.039481,            0.041745,            0.002592,             0.88392,             0.79102,              0.8774,             0.59566,            0.033043,            0.023708,            0.001674,            0.004654,            0.004654,            0.004654
                  56,            0.039343,            0.041346,           0.0025658,             0.88249,             0.79401,             0.87793,             0.59561,            0.033005,            0.023685,           0.0016719,            0.004555,            0.004555,            0.004555
                  57,              0.0393,            0.041614,            0.002602,             0.88259,             0.79466,             0.87823,             0.59684,            0.032965,            0.023661,           0.0016675,            0.004456,            0.004456,            0.004456
                  58,            0.039275,            0.041668,           0.0025822,             0.88236,             0.79387,             0.87815,             0.59748,            0.032923,            0.023632,           0.0016625,            0.004357,            0.004357,            0.004357
                  59,            0.039169,            0.041509,           0.0025622,             0.88059,             0.79586,             0.87878,             0.59811,            0.032883,            0.023608,           0.0016582,            0.004258,            0.004258,            0.004258
                  60,            0.038979,            0.041361,           0.0025461,             0.87972,             0.79588,              0.8787,              0.5987,            0.032849,            0.023586,           0.0016562,            0.004159,            0.004159,            0.004159
                  61,             0.03904,            0.041529,           0.0025787,             0.88249,             0.79537,             0.87945,             0.59914,            0.032812,            0.023562,           0.0016542,             0.00406,             0.00406,             0.00406
                  62,            0.038856,            0.041272,           0.0025414,             0.88231,             0.79545,             0.87984,             0.59959,            0.032783,            0.023538,           0.0016513,            0.003961,            0.003961,            0.003961
                  63,            0.038851,              0.0413,           0.0025458,             0.88034,             0.79865,             0.88037,              0.6003,            0.032751,            0.023517,           0.0016487,            0.003862,            0.003862,            0.003862
                  64,            0.038826,            0.041186,           0.0025213,             0.87985,             0.79979,             0.88058,              0.6008,            0.032709,            0.023495,           0.0016454,            0.003763,            0.003763,            0.003763
                  65,            0.038706,            0.041119,           0.0025173,             0.88013,             0.80089,             0.88088,              0.6017,            0.032669,             0.02347,           0.0016434,            0.003664,            0.003664,            0.003664
                  66,            0.038692,            0.040884,           0.0025235,             0.87868,             0.80155,              0.8813,             0.60207,             0.03263,            0.023454,           0.0016381,            0.003565,            0.003565,            0.003565
