               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.038017,            0.020232,           0.0018724,             0.87089,             0.77319,             0.85774,             0.57557,            0.034785,            0.025156,           0.0017769,            0.006535,            0.006535,            0.006535
                  37,            0.037944,            0.020155,           0.0018583,             0.87007,             0.77589,             0.85859,             0.57702,            0.034702,            0.025105,           0.0017727,            0.006436,            0.006436,            0.006436
                  38,            0.037835,            0.020126,           0.0018543,             0.86912,             0.77751,             0.85901,             0.57826,            0.034615,            0.025058,           0.0017678,            0.006337,            0.006337,            0.006337
                  39,            0.037747,             0.02009,           0.0018613,             0.87166,             0.77732,             0.85968,             0.57963,             0.03453,            0.024999,           0.0017583,            0.006238,            0.006238,            0.006238
                  40,            0.037648,            0.020008,           0.0018401,             0.87124,             0.77807,             0.86047,             0.58067,            0.034441,            0.024947,           0.0017499,            0.006139,            0.006139,            0.006139
                  41,            0.037562,            0.019978,           0.0018189,             0.86892,             0.78218,             0.86154,             0.58167,            0.034347,            0.024891,           0.0017392,             0.00604,             0.00604,             0.00604
                  42,            0.037494,            0.019905,            0.001822,             0.87162,             0.77965,             0.86217,             0.58288,            0.034257,            0.024842,           0.0017322,            0.005941,            0.005941,            0.005941
                  43,            0.037464,            0.019884,           0.0018291,             0.87147,             0.78005,             0.86274,             0.58417,            0.034175,            0.024792,           0.0017261,            0.005842,            0.005842,            0.005842
                  44,             0.03734,            0.019897,           0.0017862,             0.87555,             0.77872,             0.86327,              0.5852,              0.0341,            0.024747,           0.0017203,            0.005743,            0.005743,            0.005743
                  45,            0.037271,            0.019827,           0.0017926,             0.87503,              0.7817,             0.86407,             0.58589,            0.034021,            0.024696,           0.0017153,            0.005644,            0.005644,            0.005644
                  46,            0.037164,            0.019784,            0.001794,             0.87538,             0.78145,              0.8646,             0.58681,            0.033947,            0.024651,           0.0017114,            0.005545,            0.005545,            0.005545
                  47,            0.037055,             0.01976,           0.0017894,             0.87854,              0.7788,             0.86541,             0.58744,            0.033878,            0.024606,           0.0017067,            0.005446,            0.005446,            0.005446
                  48,            0.037044,            0.019722,           0.0017737,             0.87824,             0.78027,             0.86595,             0.58892,             0.03381,            0.024563,           0.0017028,            0.005347,            0.005347,            0.005347
                  49,            0.036871,            0.019715,           0.0017557,             0.88021,             0.77868,             0.86636,              0.5894,            0.033749,            0.024518,           0.0017005,            0.005248,            0.005248,            0.005248
                  50,            0.036799,            0.019615,           0.0017637,             0.88115,             0.77866,             0.86701,             0.59034,            0.033697,            0.024477,            0.001697,            0.005149,            0.005149,            0.005149
                  51,            0.036753,            0.019607,           0.0017525,             0.87951,             0.78068,             0.86746,             0.59068,            0.033647,            0.024439,           0.0016932,             0.00505,             0.00505,             0.00505
                  52,            0.036672,            0.019515,           0.0017569,             0.88055,              0.7808,             0.86808,             0.59094,            0.033597,            0.024404,           0.0016898,            0.004951,            0.004951,            0.004951
                  53,            0.036534,            0.019535,           0.0017289,             0.88118,             0.78156,             0.86817,             0.59152,            0.033552,            0.024373,           0.0016881,            0.004852,            0.004852,            0.004852
                  54,            0.036513,            0.019508,           0.0017379,             0.88138,             0.78282,             0.86868,             0.59217,            0.033503,            0.024339,           0.0016852,            0.004753,            0.004753,            0.004753
                  55,            0.036411,            0.019445,            0.001725,             0.87926,             0.78583,             0.86996,             0.59314,            0.033457,            0.024304,           0.0016829,            0.004654,            0.004654,            0.004654
                  56,            0.036365,            0.019433,           0.0017165,             0.88302,             0.78508,             0.87014,             0.59388,            0.033414,            0.024273,           0.0016812,            0.004555,            0.004555,            0.004555
                  57,            0.036183,            0.019402,           0.0017111,             0.88533,             0.78285,              0.8706,             0.59463,            0.033372,            0.024244,           0.0016765,            0.004456,            0.004456,            0.004456
                  58,            0.036197,            0.019316,           0.0017119,             0.88699,             0.78215,             0.87076,             0.59457,            0.033335,            0.024209,           0.0016707,            0.004357,            0.004357,            0.004357
                  59,            0.036058,            0.019285,           0.0016766,              0.8874,              0.7843,             0.87107,             0.59447,            0.033292,            0.024181,           0.0016681,            0.004258,            0.004258,            0.004258
                  60,            0.036035,            0.019279,             0.00168,             0.88175,             0.78913,             0.87134,             0.59578,            0.033259,            0.024147,           0.0016664,            0.004159,            0.004159,            0.004159
                  61,            0.035891,            0.019245,           0.0016819,             0.88346,             0.78961,             0.87192,             0.59586,            0.033222,            0.024119,           0.0016612,             0.00406,             0.00406,             0.00406
                  62,            0.035861,            0.019188,           0.0016574,             0.88525,             0.78846,              0.8724,             0.59651,            0.033189,            0.024094,           0.0016547,            0.003961,            0.003961,            0.003961
                  63,            0.035741,            0.019143,           0.0016684,             0.88684,             0.78936,             0.87308,             0.59721,            0.033153,             0.02407,           0.0016501,            0.003862,            0.003862,            0.003862
                  64,            0.035714,            0.019102,           0.0016585,             0.88754,             0.79015,              0.8733,             0.59809,            0.033109,            0.024042,           0.0016471,            0.003763,            0.003763,            0.003763
                  65,            0.035562,            0.019066,           0.0016519,             0.88498,             0.79169,             0.87376,             0.59831,            0.033067,             0.02402,           0.0016434,            0.003664,            0.003664,            0.003664
                  66,            0.035518,            0.019008,           0.0016452,             0.88483,             0.79208,             0.87437,              0.5991,            0.033025,            0.023991,           0.0016392,            0.003565,            0.003565,            0.003565
                  67,            0.035436,             0.01893,             0.00164,             0.88573,             0.79275,              0.8746,             0.59954,            0.032989,            0.023965,           0.0016339,            0.003466,            0.003466,            0.003466
                  68,            0.035348,            0.018915,           0.0015982,             0.88548,             0.79271,             0.87487,             0.59994,            0.032958,            0.023937,           0.0016319,            0.003367,            0.003367,            0.003367
                  69,            0.035273,            0.018866,             0.00161,             0.88408,             0.79468,             0.87502,             0.60021,            0.032926,            0.023917,           0.0016304,            0.003268,            0.003268,            0.003268
                  70,             0.03512,            0.018858,            0.001592,             0.88456,             0.79408,             0.87562,             0.60063,            0.032886,             0.02389,           0.0016278,            0.003169,            0.003169,            0.003169
                  71,            0.035051,             0.01883,           0.0015736,               0.885,             0.79442,             0.87608,             0.60111,            0.032845,            0.023868,           0.0016235,             0.00307,             0.00307,             0.00307
                  72,            0.034996,            0.018789,           0.0015719,             0.88679,             0.79376,             0.87662,             0.60193,            0.032814,            0.023843,           0.0016226,            0.002971,            0.002971,            0.002971
                  73,            0.034911,            0.018763,           0.0015979,             0.88565,             0.79415,             0.87757,             0.60181,            0.032781,             0.02382,           0.0016177,            0.002872,            0.002872,            0.002872
                  74,            0.034777,            0.018691,           0.0015674,             0.88566,              0.7942,              0.8779,             0.60254,            0.032748,            0.023796,           0.0016121,            0.002773,            0.002773,            0.002773
                  75,             0.03471,            0.018598,           0.0015524,             0.88561,             0.79374,             0.87791,             0.60317,            0.032707,            0.023778,           0.0016053,            0.002674,            0.002674,            0.002674
                  76,            0.034613,            0.018577,           0.0015348,             0.88699,             0.79441,             0.87803,             0.60364,            0.032669,            0.023756,           0.0016011,            0.002575,            0.002575,            0.002575
                  77,            0.034585,            0.018562,           0.0015518,              0.8871,             0.79473,             0.87852,             0.60412,             0.03264,            0.023737,           0.0015994,            0.002476,            0.002476,            0.002476
                  78,            0.034462,            0.018478,           0.0015297,             0.88671,             0.79421,             0.87855,             0.60445,            0.032613,            0.023715,           0.0015986,            0.002377,            0.002377,            0.002377
                  79,            0.034299,            0.018406,           0.0015446,             0.88546,             0.79788,             0.87884,              0.6052,            0.032586,            0.023695,           0.0015983,            0.002278,            0.002278,            0.002278
                  80,            0.034248,            0.018375,           0.0015109,               0.885,              0.7981,             0.87924,             0.60536,            0.032558,            0.023677,           0.0015978,            0.002179,            0.002179,            0.002179
                  81,            0.034147,            0.018303,            0.001499,              0.8845,             0.79838,             0.87949,             0.60572,            0.032529,            0.023653,            0.001599,             0.00208,             0.00208,             0.00208
                  82,            0.034001,            0.018278,           0.0014913,             0.88847,             0.79608,             0.87991,             0.60645,            0.032502,            0.023638,           0.0016007,            0.001981,            0.001981,            0.001981
                  83,            0.033856,            0.018222,           0.0014751,             0.88739,             0.79658,             0.88019,              0.6065,            0.032477,            0.023615,           0.0016027,            0.001882,            0.001882,            0.001882
                  84,            0.033798,            0.018135,           0.0014724,             0.88794,             0.79628,             0.88018,             0.60745,            0.032453,            0.023594,           0.0016027,            0.001783,            0.001783,            0.001783
                  85,            0.033713,            0.018095,           0.0014461,              0.8894,             0.79663,             0.88052,             0.60783,             0.03243,            0.023574,           0.0016048,            0.001684,            0.001684,            0.001684
                  86,             0.03351,            0.018041,           0.0014395,             0.89208,             0.79372,             0.88076,             0.60823,            0.032404,            0.023557,           0.0016047,            0.001585,            0.001585,            0.001585
                  87,            0.033452,            0.017949,            0.001432,             0.89239,             0.79277,             0.88066,              0.6088,            0.032384,            0.023542,           0.0016044,            0.001486,            0.001486,            0.001486
                  88,            0.033299,            0.017877,           0.0014267,             0.89262,             0.79278,             0.88084,             0.60924,            0.032366,             0.02353,           0.0016033,            0.001387,            0.001387,            0.001387
                  89,            0.033198,             0.01782,           0.0014141,              0.8963,             0.78993,             0.88131,             0.60957,            0.032347,            0.023521,            0.001604,            0.001288,            0.001288,            0.001288
                  90,             0.03303,            0.017736,           0.0014101,             0.89514,             0.79096,             0.88186,             0.61001,            0.032327,            0.023507,            0.001605,            0.001189,            0.001189,            0.001189
                  91,            0.032923,             0.01769,           0.0013826,             0.89372,             0.79256,             0.88198,             0.61011,            0.032306,            0.023497,           0.0016035,             0.00109,             0.00109,             0.00109
                  92,            0.032681,            0.017545,           0.0013613,             0.89633,             0.79252,             0.88249,             0.61028,            0.032287,            0.023483,           0.0016018,            0.000991,            0.000991,            0.000991
                  93,            0.032636,            0.017477,           0.0013542,             0.89411,             0.79252,             0.88233,             0.61048,            0.032271,            0.023474,           0.0016014,            0.000892,            0.000892,            0.000892
                  94,            0.032493,            0.017433,            0.001348,              0.8964,             0.79271,              0.8826,             0.61084,            0.032258,            0.023465,           0.0016051,            0.000793,            0.000793,            0.000793
                  95,            0.032237,            0.017313,           0.0013342,              0.8965,             0.79256,             0.88277,             0.61069,            0.032249,            0.023462,           0.0016101,            0.000694,            0.000694,            0.000694
                  96,            0.032166,            0.017219,           0.0013188,             0.89717,              0.7909,              0.8827,             0.61118,            0.032236,            0.023458,           0.0016125,            0.000595,            0.000595,            0.000595
                  97,            0.031999,            0.017149,           0.0012978,             0.89791,             0.79125,             0.88291,             0.61074,            0.032227,            0.023459,           0.0016144,            0.000496,            0.000496,            0.000496
                  98,            0.031852,             0.01703,           0.0012929,             0.89679,             0.79182,             0.88281,             0.61074,             0.03222,            0.023458,           0.0016177,            0.000397,            0.000397,            0.000397
                  99,            0.031633,             0.01693,           0.0012729,             0.89939,             0.78979,             0.88292,             0.61051,            0.032219,            0.023464,           0.0016216,            0.000298,            0.000298,            0.000298
