               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.036182,            0.042479,           0.0018309,             0.86514,             0.79138,             0.87592,             0.58835,            0.032935,            0.028906,           0.0015463,            0.006535,            0.006535,            0.006535
                  37,            0.036202,            0.042324,           0.0018426,             0.86538,             0.79238,             0.87632,             0.58902,            0.032888,             0.02887,           0.0015414,            0.006436,            0.006436,            0.006436
                  38,            0.036076,            0.042322,           0.0018545,             0.86573,             0.79271,             0.87698,             0.58981,            0.032842,            0.028834,           0.0015377,            0.006337,            0.006337,            0.006337
                  39,            0.035996,             0.04218,           0.0018357,              0.8659,              0.7935,             0.87754,             0.59118,            0.032794,            0.028801,           0.0015333,            0.006238,            0.006238,            0.006238
                  40,            0.035869,            0.041795,           0.0018061,             0.86505,             0.79517,             0.87808,             0.59164,            0.032748,            0.028767,           0.0015282,            0.006139,            0.006139,            0.006139
                  41,            0.035812,            0.042064,           0.0018347,             0.86478,             0.79592,              0.8783,             0.59277,            0.032704,            0.028734,           0.0015241,             0.00604,             0.00604,             0.00604
                  42,            0.035741,            0.041664,           0.0018008,             0.86359,              0.7971,             0.87885,             0.59353,            0.032657,            0.028705,           0.0015187,            0.005941,            0.005941,            0.005941
                  43,            0.035616,            0.042031,           0.0017966,             0.86657,              0.7961,              0.8795,             0.59421,            0.032609,            0.028672,           0.0015149,            0.005842,            0.005842,            0.005842
                  44,             0.03557,            0.041756,           0.0017535,             0.86606,             0.79665,             0.88051,             0.59533,             0.03256,            0.028642,           0.0015096,            0.005743,            0.005743,            0.005743
                  45,             0.03549,             0.04167,           0.0017666,             0.86743,             0.79757,             0.88092,             0.59569,            0.032518,            0.028611,           0.0015046,            0.005644,            0.005644,            0.005644
                  46,            0.035556,            0.041806,           0.0017623,             0.87004,             0.79728,             0.88171,             0.59653,            0.032476,             0.02858,           0.0014995,            0.005545,            0.005545,            0.005545
                  47,            0.035377,            0.041626,           0.0017743,             0.87109,             0.79804,             0.88238,             0.59741,            0.032426,            0.028548,           0.0014951,            0.005446,            0.005446,            0.005446
                  48,            0.035357,            0.041251,           0.0017662,             0.86661,             0.80081,              0.8825,             0.59791,            0.032384,            0.028516,           0.0014909,            0.005347,            0.005347,            0.005347
                  49,            0.035253,            0.041404,           0.0017477,             0.86815,             0.80075,             0.88263,             0.59847,            0.032339,            0.028478,           0.0014867,            0.005248,            0.005248,            0.005248
                  50,            0.035189,            0.041304,           0.0017472,             0.86953,             0.80114,             0.88335,             0.59936,            0.032293,            0.028447,           0.0014838,            0.005149,            0.005149,            0.005149
                  51,              0.0351,            0.041332,           0.0017528,             0.87182,             0.79964,             0.88403,             0.59982,            0.032249,            0.028413,           0.0014805,             0.00505,             0.00505,             0.00505
                  52,            0.035096,            0.041217,           0.0017093,             0.87167,             0.80173,             0.88469,             0.60078,            0.032206,            0.028384,           0.0014771,            0.004951,            0.004951,            0.004951
                  53,            0.034928,            0.041271,           0.0017139,             0.87174,             0.80155,             0.88526,             0.60186,            0.032161,            0.028347,           0.0014746,            0.004852,            0.004852,            0.004852
                  54,            0.034887,            0.041139,            0.001733,             0.87286,             0.80226,             0.88595,             0.60275,            0.032117,            0.028314,           0.0014717,            0.004753,            0.004753,            0.004753
                  55,            0.034827,            0.041037,           0.0017208,             0.87349,             0.80201,             0.88645,             0.60337,            0.032072,             0.02828,           0.0014678,            0.004654,            0.004654,            0.004654
                  56,            0.034831,            0.041191,           0.0017221,             0.87271,             0.80283,             0.88657,             0.60347,            0.032027,            0.028246,           0.0014662,            0.004555,            0.004555,            0.004555
                  57,            0.034695,            0.040833,           0.0017085,             0.87332,             0.80296,             0.88714,             0.60453,            0.031984,            0.028209,           0.0014629,            0.004456,            0.004456,            0.004456
                  58,            0.034614,            0.040856,           0.0016698,             0.87344,             0.80325,             0.88746,             0.60521,            0.031937,            0.028174,           0.0014578,            0.004357,            0.004357,            0.004357
